acct_id,subscription_expected_events,subscription_actual_events,subscription_event_gap,subscription_utilization_pct,subscription_packages
199158,12.0,12,0.0,1.0,1
199763,12.0,12,0.0,1.0,2
201985,12.0,12,0.0,1.0,1
202051,6.0,6,0.0,1.0,1
202722,48.0,12,36.0,0.25,1
202832,6.0,7,-1.0,1.1666666666666667,1
203019,12.0,6,6.0,0.5,1
203173,6.0,6,0.0,1.0,1
203426,6.0,5,1.0,0.8333333333333334,1
203844,4.0,4,0.0,1.0,1
203888,12.0,12,0.0,1.0,2
204020,36.0,22,14.0,0.6111111111111112,2
204922,12.0,3,9.0,0.25,2
205747,12.0,12,0.0,1.0,1
206726,48.0,47,1.0,0.9791666666666667,2
206737,4.0,4,0.0,1.0,1
207166,6.0,6,0.0,1.0,1
207375,8.0,8,0.0,1.0,1
208112,12.0,8,4.0,0.6666666666666666,2
208871,6.0,6,0.0,1.0,1
209080,8.0,8,0.0,1.0,1
209135,12.0,12,0.0,1.0,1
209520,12.0,12,0.0,1.0,1
209740,24.0,24,0.0,1.0,1
210191,4.0,4,0.0,1.0,1
210290,12.0,12,0.0,1.0,1
210730,12.0,9,3.0,0.75,2
210818,12.0,12,0.0,1.0,1
211170,12.0,12,0.0,1.0,1
211214,6.0,2,4.0,0.3333333333333333,1
211346,12.0,12,0.0,1.0,1
211423,18.0,1,17.0,0.05555555555555555,1
211467,6.0,6,0.0,1.0,1
211962,30.0,30,0.0,1.0,2
213095,12.0,11,1.0,0.9166666666666666,1
213315,12.0,12,0.0,1.0,1
213436,36.0,12,24.0,0.625,2
214910,6.0,1,5.0,0.16666666666666666,1
215372,8.0,8,0.0,1.0,1
215482,12.0,11,1.0,0.9166666666666667,1
216120,12.0,12,0.0,1.0,1
216846,8.0,8,0.0,1.0,1
217330,12.0,12,0.0,1.0,1
218232,24.0,6,18.0,0.25,1
218265,12.0,12,0.0,1.0,1
218782,8.0,8,0.0,1.0,1
219640,12.0,12,0.0,1.0,1
219684,12.0,11,1.0,0.9166666666666667,2
220938,6.0,6,0.0,1.0,1
221037,6.0,6,0.0,1.0,1
221818,12.0,16,-4.0,1.3333333333333335,1
222412,6.0,6,0.0,1.0,1
222445,4.0,4,0.0,1.0,1
223875,12.0,13,-1.0,1.0833333333333335,1
224161,12.0,11,1.0,0.9166666666666667,1
224524,12.0,12,0.0,1.0,1
224579,36.0,32,4.0,0.8888888888888888,1
225404,34.0,33,1.0,0.9444444444444445,3
225734,12.0,12,0.0,1.0,1
226383,48.0,48,0.0,1.0,1
226460,12.0,12,0.0,1.0,1
226614,12.0,11,1.0,0.9166666666666667,1
226713,12.0,10,2.0,0.8333333333333334,1
226779,8.0,8,0.0,1.0,1
227494,72.0,48,24.0,0.6666666666666666,2
227692,12.0,24,-12.0,2.0,1
227912,6.0,6,0.0,1.0,1
227967,12.0,12,0.0,1.0,1
228198,12.0,9,3.0,0.75,1
228671,12.0,12,0.0,1.0,1
229859,12.0,12,0.0,1.0,1
230134,6.0,1,5.0,0.16666666666666666,1
230189,6.0,5,1.0,0.8333333333333334,1
230244,12.0,5,7.0,0.41666666666666663,2
231432,30.0,7,23.0,0.5208333333333334,2
232598,8.0,8,0.0,1.0,1
233115,12.0,12,0.0,1.0,1
233566,12.0,12,0.0,1.0,1
233665,48.0,47,1.0,0.9791666666666667,1
233951,4.0,4,0.0,1.0,1
233984,6.0,5,1.0,0.8333333333333334,1
234116,6.0,6,0.0,1.0,1
234259,12.0,12,0.0,1.0,2
234281,12.0,12,0.0,1.0,1
235106,6.0,8,-2.0,1.3333333333333333,1
235810,12.0,12,0.0,1.0,1
235931,12.0,12,0.0,1.0,1
236514,6.0,5,1.0,0.8333333333333334,1
237031,12.0,1,11.0,0.08333333333333333,1
237097,12.0,6,6.0,0.5,2
237779,18.0,24,-6.0,1.5,2
238131,12.0,12,0.0,1.0,1
238626,18.0,11,7.0,0.6111111111111112,2
239066,4.0,4,0.0,1.0,1
239264,6.0,1,5.0,0.16666666666666666,1
239429,6.0,6,0.0,1.0,1
239616,12.0,13,-1.0,1.0833333333333335,1
239946,6.0,6,0.0,1.0,1
239957,12.0,12,0.0,1.0,1
242355,12.0,12,0.0,1.0,1
242553,12.0,13,-1.0,1.0833333333333335,1
243455,12.0,12,0.0,1.0,1
243994,6.0,6,0.0,1.0,1
244192,36.0,29,7.0,0.8055555555555556,1
244555,6.0,5,1.0,0.8333333333333334,1
244984,4.0,4,0.0,1.0,1
245919,12.0,11,1.0,0.9166666666666667,1
246150,6.0,12,-6.0,2.0,1
246282,12.0,23,-11.0,1.9166666666666665,1
246436,48.0,44,4.0,0.9166666666666667,1
246579,36.0,36,0.0,1.0,1
246821,12.0,12,0.0,1.0,1
246854,6.0,6,0.0,1.0,1
247096,12.0,12,0.0,1.0,1
247349,12.0,12,0.0,1.0,2
247800,6.0,6,0.0,1.0,1
248152,6.0,7,-1.0,1.1666666666666667,1
248163,24.0,23,1.0,0.9583333333333333,1
248295,6.0,5,1.0,0.8333333333333334,1
248504,12.0,11,1.0,0.9166666666666667,1
248625,6.0,1,5.0,0.16666666666666666,1
249703,6.0,2,4.0,0.3333333333333333,1
250649,54.0,37,17.0,0.5972222222222222,3
250715,48.0,40,8.0,0.8333333333333333,1
251023,12.0,11,1.0,0.9166666666666667,1
251067,30.0,18,12.0,0.6666666666666666,2
251276,4.0,4,0.0,1.0,1
251606,12.0,12,0.0,1.0,1
251683,12.0,12,0.0,1.0,1
251771,6.0,6,0.0,1.0,1
251958,24.0,24,0.0,1.0,2
252266,12.0,12,0.0,1.0,1
253410,12.0,12,0.0,1.0,1
253630,12.0,12,0.0,1.0,1
253652,8.0,8,0.0,1.0,1
254323,66.0,4,62.0,0.06597222222222222,4
255247,8.0,8,0.0,1.0,1
255566,12.0,12,0.0,1.0,1
255786,12.0,11,1.0,0.9166666666666667,1
255841,4.0,4,0.0,1.0,1
256358,12.0,23,-11.0,1.9166666666666665,1
256545,12.0,12,0.0,1.0,1
256633,24.0,23,1.0,0.9583333333333333,1
257260,12.0,9,3.0,0.75,1
257546,12.0,2,10.0,0.16666666666666666,2
258448,6.0,2,4.0,0.3333333333333333,1
258569,66.0,47,19.0,0.6574074074074074,2
258701,12.0,6,6.0,0.5,1
259537,12.0,12,0.0,1.0,1
259724,12.0,12,0.0,1.0,1
260219,12.0,12,0.0,1.0,1
261517,12.0,12,0.0,1.0,1
261704,10.0,8,2.0,0.75,2
262210,12.0,13,-1.0,1.0833333333333335,1
262441,6.0,5,1.0,0.8333333333333334,1
263321,10.0,11,-1.0,1.0833333333333335,2
263618,12.0,14,-2.0,1.1666666666666665,2
264080,16.0,13,3.0,0.75,2
266335,12.0,6,6.0,0.5,1
266357,6.0,6,0.0,1.0,1
267336,12.0,12,0.0,1.0,1
267787,24.0,24,0.0,1.0,1
268260,4.0,4,0.0,1.0,1
268315,36.0,36,0.0,1.0,1
269459,8.0,8,0.0,1.0,1
270493,6.0,6,0.0,1.0,1
270636,12.0,12,0.0,1.0,1
271010,8.0,8,0.0,1.0,1
271494,12.0,1,11.0,0.08333333333333333,1
273100,12.0,12,0.0,1.0,1
274123,6.0,6,0.0,1.0,1
274387,6.0,6,0.0,1.0,1
