acct_id,fiscal_year,price_code_type,package_size,actual_events,tickets_sold,avg_seats_per_event,expected_events,event_gap,utilization_pct
115987,FY23,Fixed Musician Subscription 18 Concert,18.0,1,2,2.0,18.0,17.0,0.05555555555555555
115987,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
116119,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
116119,FY24,Fixed Established Subscription 6 Concert,6.0,6,11,1.8333333333333333,6.0,0.0,1.0
116526,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
116526,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
116735,FY23,Fixed Established Subscription 24 Concert,24.0,23,46,2.0,24.0,1.0,0.9583333333333334
116735,FY24,Fixed Established Subscription 24 Concert,24.0,21,44,2.0,24.0,3.0,0.875
116856,FY23,Fixed Freshman Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
117131,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
117131,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
117164,FY23,Fixed Established Subscription 12 Concert,12.0,11,24,1.7142857142857142,12.0,1.0,0.9166666666666666
117164,FY24,Fixed Established Subscription 12 Concert,12.0,12,25,2.0833333333333335,12.0,0.0,1.0
117263,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
117296,FY24,Fixed Freshman Subscription 12 Concert,12.0,12,24,1.8461538461538463,12.0,0.0,1.0
117417,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
117417,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
118330,FY23,Fixed Freshman Subscription 6 Concert,6.0,1,1,1.0,6.0,5.0,0.16666666666666666
118330,FY23,Fixed Freshman Subscription Sunday,4.0,3,3,1.0,4.0,1.0,0.75
118330,FY24,Fixed Sophomore  Subscription Sunday,4.0,4,4,1.0,4.0,0.0,1.0
119111,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
119111,FY24,Fixed Established Subscription 6 Concert,6.0,6,14,2.0,6.0,0.0,1.0
119166,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,1.0909090909090908,6.0,0.0,1.0
119221,FY23,Fixed Established Subscription Sunday,4.0,4,4,1.0,4.0,0.0,1.0
119826,FY23,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
119826,FY24,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
120156,FY23,Fixed Established Subscription 6 Concert,6.0,5,5,1.0,6.0,1.0,0.8333333333333334
120156,FY23,Fixed Sophomore Subscription 6 Concert,6.0,1,1,1.0,6.0,5.0,0.16666666666666666
120156,FY24,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
120519,FY24,Fixed Sophomore  Subscription Sunday,4.0,3,6,2.0,4.0,1.0,0.75
120519,FY24,Fixed Upgrade Subscription Sunday,4.0,1,2,2.0,4.0,3.0,0.25
120541,FY23,Fixed Established Subscription 18 Concert,18.0,18,36,2.0,18.0,0.0,1.0
120541,FY24,Fixed Established Subscription 18 Concert,18.0,18,36,2.0,18.0,0.0,1.0
