price,seats_sold,transactions,num_events,total_revenue
82.4,3,3,1,247.20000000000002
82.5,17,6,6,1402.5
82.75,160,160,49,13240.0
83.0,93,92,24,7719.0
84.0,597,280,75,50148.0
85.0,136,125,37,11560.0
85.5,3,1,1,256.5
86.0,804,405,69,69144.0
86.1,6,2,2,516.5999999999999
86.4,6,3,3,518.4000000000001
86.5,2,1,1,173.0
86.7,10,5,2,867.0
87.0,159,55,15,13833.0
88.0,787,430,98,69256.0
88.5,21,7,5,1858.5
88.8,6,2,1,532.8
89.0,104,104,7,9256.0
89.25,3,1,1,267.75
90.0,4335,2155,112,390150.0
90.4,1,1,1,90.4
91.0,21,20,9,1911.0
91.5,33,11,11,3019.5
92.0,904,418,78,83168.0
92.25,3,1,1,276.75
92.5,320,160,29,29600.0
93.0,230,120,29,21390.0
93.5,12,6,3,1122.0
94.0,2481,1259,80,233214.0
95.0,174,174,75,16530.0
95.5,17,17,16,1623.5
96.0,375,158,53,36000.0
96.6,6,1,1,579.5999999999999
97.0,304,147,26,29488.0
97.5,51,17,17,4972.5
97.6,8,4,1,780.8
98.0,1299,664,95,127302.0
98.4,3,1,1,295.20000000000005
98.5,63,40,29,6205.5
98.6,8,2,2,788.8
99.0,451,205,54,44649.0
99.2,8,4,1,793.6
100.0,2385,1311,89,238500.0
100.3,18,9,4,1805.3999999999999
100.5,80,32,22,8040.0
100.8,8,4,4,806.4
101.0,84,46,14,8484.0
101.25,9,3,3,911.25
102.0,2572,1339,67,262344.0
102.5,164,82,27,16810.0
102.75,36,36,6,3699.0
103.0,287,222,74,29561.0
103.2,3,1,1,309.6
103.5,39,13,12,4036.5
103.6,4,1,1,414.4
104.0,426,186,82,44304.0
104.55,9,3,2,940.9499999999999
105.0,399,136,39,41895.0
105.6,3,1,1,316.79999999999995
106.0,847,605,64,89782.0
106.5,93,31,21,9904.5
107.0,405,209,48,43335.0
107.1,3,1,1,321.29999999999995
107.2,2,1,1,214.4
107.75,41,41,9,4417.75
107.8,6,3,3,646.8
108.0,1388,676,66,149904.0
109.0,309,254,50,33681.0
110.0,1509,767,96,165990.0
111.0,367,273,54,40737.0
112.0,2485,1232,95,278320.0
113.0,83,83,21,9379.0
113.25,9,3,3,1019.25
114.0,632,321,57,72048.0
114.75,6,2,2,688.5
115.0,68,14,9,7820.0
115.2,2,1,1,230.4
115.5,108,53,30,12474.0
116.0,477,216,31,55332.0
117.0,381,127,36,44577.0
117.3,16,8,4,1876.8
118.0,676,339,62,79768.0
118.4,4,1,1,473.6
118.5,12,4,4,1422.0
119.0,65,65,18,7735.0
119.5,12,6,6,1434.0
120.0,1571,710,91,188520.0
121.0,48,45,9,5808.0
121.25,40,8,5,4850.0
121.6,8,4,3,972.8
122.0,1050,514,37,128100.0
122.4,13,5,3,1591.2
