Group,Target Accounts,Expected Responders,New Tickets,Discounted Revenue,Full Price Equivalent
Group A (0 Classical),5647,1129,1689,90007.82533875365,98899.40278902835
Group B (1 Classical),729,145,187,9603.020756305892,10949.78586237318
Group C (2 Classical),254,50,50,2488.5876959939046,2927.7502305810644
TOTAL,6630,1324,1926,102099.43379105345,112776.93888198258
