price_bucket,subscribers,total_seats,cumulative_subscribers,cumulative_quantity,purchase_price,seats_sold,avg_price
50.0,5,17,5,5,50.0,5,36.8215226927328
45.0,79,843,84,84,45.0,79,36.8215226927328
40.0,16,226,100,100,40.0,16,36.8215226927328
35.0,17,196,117,117,35.0,17,36.8215226927328
30.0,19,176,136,136,30.0,19,36.8215226927328
25.0,48,405,184,184,25.0,48,36.8215226927328
20.0,4,37,188,188,20.0,4,36.8215226927328
