Fixed Tier,Total Accounts,Accounts Buying ST,% Buying ST,Avg ST Events,Avg ST Seats,Avg ST Revenue
Fixed 12,199,141,70.9,2.608040201005025,6.321608040201005,426.70050251256276
Fixed 18,62,43,69.4,2.8870967741935485,5.774193548387097,427.63709677419354
Fixed 24,137,97,70.8,2.5839416058394162,4.635036496350365,345.69525547445255
Fixed 6,1643,950,57.8,1.4650030432136336,3.037127206329884,205.15768715763846
Fixed Other,472,244,51.7,1.1567796610169492,2.4152542372881354,154.53940677966102
