price_per_seat,seats_sold,transactions,num_events,total_revenue
10.5,2,1,1,21.0
11.0,3,2,2,33.0
11.5,7,4,4,80.5
15.75,6,3,3,94.5
16.0,6,4,2,96.0
16.5,4,2,1,66.0
18.0,16,7,5,288.0
20.0,6,3,2,120.0
21.0,4,2,2,84.0
22.0,16,9,5,352.0
23.0,13,8,5,299.0
24.0,27,16,7,648.0
26.25,2,2,1,52.5
30.0,11,8,5,330.0
31.5,1,1,1,31.5
33.0,26,13,2,858.0
34.5,92,50,8,3174.0
36.0,32,20,7,1152.0
37.0,1,1,1,37.0
37.75,2,1,1,75.5
49.0,5,3,1,245.0
