price_bucket,subscribers,total_seats,cumulative_subscribers,cumulative_quantity,purchase_price,seats_sold,avg_price
40.0,19,206,19,19,40.0,19,24.16987079627369
35.0,108,1627,127,127,35.0,108,24.16987079627369
30.0,25,558,152,152,30.0,25,24.16987079627369
25.0,60,703,212,212,25.0,60,24.16987079627369
20.0,97,1225,309,309,20.0,97,24.16987079627369
15.0,68,589,377,377,15.0,68,24.16987079627369
10.0,34,377,411,411,10.0,34,24.16987079627369
