price_per_seat,seats_sold,transactions,num_events,total_revenue
17.0,9,3,2,153.0
20.0,403,152,5,8060.0
24.65,7,3,2,172.54999999999998
25.0,165,59,6,4125.0
29.0,245,93,4,7105.0
30.0,124,53,3,3720.0
34.0,7,3,1,238.0
34.5,14,7,1,483.0
35.0,393,142,6,13755.0
37.0,9,3,1,333.0
38.0,7,3,1,266.0
40.0,40,17,1,1600.0
43.0,13,4,2,559.0
45.0,112,52,3,5040.0
