price_per_seat,seats_sold,transactions,num_events,total_revenue
38.25,5,2,1,191.25
40.0,35,12,1,1400.0
42.0,2,1,1,84.0
45.0,300,115,6,13500.0
48.0,2,1,1,96.0
49.0,92,37,4,4508.0
54.0,54,21,1,2916.0
55.0,16,6,1,880.0
57.0,9,4,3,513.0
59.0,84,31,2,4956.0
