price,seats_sold,transactions,total_revenue
102.0,2556,1332,260712.0
102.5,164,82,16810.0
102.75,36,36,3699.0
103.0,279,214,28737.0
103.2,3,1,309.6
103.5,33,11,3415.5
103.6,4,1,414.4
104.0,426,186,44304.0
104.55,9,3,940.9499999999999
105.0,252,87,26460.0
105.6,3,1,316.79999999999995
106.0,783,573,82998.0
106.5,93,31,9904.5
107.0,403,207,43121.0
107.1,3,1,321.29999999999995
107.2,2,1,214.4
107.75,41,41,4417.75
107.8,6,3,646.8
108.0,1202,583,129816.0
109.0,304,249,33136.0
110.0,757,391,83270.0
111.0,364,272,40404.0
112.0,2485,1232,278320.0
113.0,83,83,9379.0
113.25,9,3,1019.25
114.0,595,303,67830.0
115.0,68,14,7820.0
115.2,2,1,230.4
115.5,108,53,12474.0
116.0,231,146,26796.0
117.0,267,89,31239.0
118.0,268,135,31624.0
118.4,4,1,473.6
118.5,12,4,1422.0
119.0,61,61,7259.0
119.5,12,6,1434.0
120.0,1135,542,136200.0
121.0,48,45,5808.0
121.25,40,8,4850.0
121.6,8,4,972.8
122.0,1048,513,127856.0
122.4,13,5,1591.2
123.0,225,86,27675.0
123.2,28,13,3449.6
123.5,46,23,5681.0
124.0,746,391,92504.0
125.0,60,34,7500.0
126.0,189,153,23814.0
128.0,369,180,47232.0
129.0,133,45,17157.0
129.5,5,1,647.5
130.0,138,49,17940.0
130.05,3,1,390.15000000000003
131.0,16,15,2096.0
131.25,3,1,393.75
132.0,953,386,125796.0
133.0,3,3,399.0
134.0,695,344,93130.0
135.0,347,123,46845.0
136.0,340,151,46240.0
136.5,20,10,2730.0
137.0,1,1,137.0
137.5,10,2,1375.0
138.0,1007,465,138966.0
138.5,46,23,6371.0
138.75,12,4,1665.0
139.0,9,9,1251.0
140.0,534,233,74760.0
140.8,4,1,563.2
141.0,107,36,15087.0
142.0,620,304,88040.0
142.8,4,1,571.2
143.0,88,44,12584.0
144.0,877,410,126288.0
144.2,2,1,288.4
144.5,1,1,144.5
145.0,7,3,1015.0
145.5,18,6,2619.0
145.8,4,2,583.2
146.0,4,2,584.0
147.0,36,12,5292.0
148.0,108,38,15984.0
148.5,3,1,445.5
148.8,6,2,892.8000000000001
149.0,367,184,54683.0
150.0,288,106,43200.0
151.0,32,8,4832.0
151.2,6,2,907.1999999999999
151.5,6,2,909.0
152.0,650,304,98800.0
153.0,507,169,77571.0
153.75,5,1,768.75
154.0,156,77,24024.0
154.5,6,2,927.0
155.0,30,6,4650.0
156.0,809,343,126204.0
158.0,470,235,74260.0
159.0,117,39,18603.0
160.0,138,56,22080.0
160.5,39,13,6259.5
161.0,21,3,3381.0
162.0,345,155,55890.0
163.2,26,12,4243.2
163.5,12,4,1962.0
164.0,451,173,73964.0
164.8,4,2,659.2
165.0,170,51,28050.0
165.5,346,173,57263.0
166.0,322,161,53452.0
168.0,451,151,75768.0
170.0,280,140,47600.0
170.4,3,1,511.20000000000005
171.0,54,18,9234.0
172.0,130,44,22360.0
172.2,6,1,1033.1999999999998
172.8,3,1,518.4000000000001
173.4,4,1,693.6
174.0,36,12,6264.0
175.0,49,9,8575.0
175.1,14,7,2451.4
176.0,292,118,51392.0
177.0,66,22,11682.0
178.0,20,10,3560.0
180.0,692,219,124560.0
180.8,2,1,361.6
181.0,12,6,2172.0
182.0,125,60,22750.0
183.0,168,56,30744.0
183.6,6,2,1101.6
184.0,306,125,56304.0
184.8,3,1,554.4000000000001
185.0,50,11,9250.0
186.0,244,103,45384.0
187.5,6,2,1125.0
188.0,392,164,73696.0
188.75,15,3,2831.25
189.0,9,3,1701.0
190.0,563,271,106970.0
191.0,80,40,15280.0
192.0,103,33,19776.0
194.0,10,4,1940.0
195.0,58,14,11310.0
196.0,87,37,17052.0
197.0,244,122,48068.0
198.0,73,22,14454.0
200.0,1985,957,397000.0
201.0,147,49,29547.0
202.0,20,10,4040.0
204.0,1660,675,338640.0
204.75,3,1,614.25
205.0,70,14,14350.0
205.5,172,86,35346.0
206.0,492,246,101352.0
207.0,183,59,37881.0
208.0,44,8,9152.0
210.0,91,26,19110.0
211.2,6,1,1267.1999999999998
212.0,1970,970,417640.0
213.0,63,21,13419.0
214.0,64,31,13696.0
214.5,12,4,2574.0
215.0,25,5,5375.0
215.5,186,93,40083.0
215.6,4,1,862.4
216.0,292,88,63072.0
218.0,958,479,208844.0
220.0,306,123,67320.0
222.0,580,283,128760.0
224.0,366,92,81984.0
225.0,74,18,16650.0
226.0,416,208,94016.0
227.0,3,1,681.0
228.0,311,122,70908.0
230.0,61,20,14030.0
231.0,48,16,11088.0
232.0,178,79,41296.0
234.0,155,49,36270.0
235.0,5,1,1175.0
236.0,42,15,9912.0
237.0,6,2,1422.0
238.0,162,81,38556.0
240.0,126,39,30240.0
242.0,76,38,18392.0
243.2,4,1,972.8
244.0,154,48,37576.0
245.0,10,2,2450.0
246.0,107,32,26322.0
246.4,8,2,1971.2
247.5,18,2,4455.0
248.0,524,222,129952.0
249.0,87,29,21663.0
250.0,176,76,44000.0
252.0,278,133,70056.0
255.0,181,39,46155.0
256.0,72,21,18432.0
258.0,39,18,10062.0
259.0,14,2,3626.0
260.0,50,21,13000.0
262.0,8,4,2096.0
264.0,108,29,28512.0
265.0,15,3,3975.0
265.6,4,1,1062.4
266.0,23,9,6118.0
267.0,6,2,1602.0
268.0,110,32,29480.0
270.0,154,49,41580.0
272.0,92,32,25024.0
273.0,15,5,4095.0
275.0,30,5,8250.0
276.0,223,62,61548.0
277.0,4,1,1108.0
278.0,32,16,8896.0
279.0,21,7,5859.0
280.0,245,68,68600.0
282.0,6,3,1692.0
284.0,22,7,6248.0
285.0,25,5,7125.0
286.0,18,5,5148.0
287.0,7,1,2009.0
288.0,122,30,35136.0
290.0,23,10,6670.0
294.0,3,1,882.0
295.5,3,1,886.5
296.0,12,3,3552.0
297.0,3,1,891.0
298.0,30,8,8940.0
300.0,68,22,20400.0
301.0,7,1,2107.0
304.0,16,4,4864.0
305.0,25,5,7625.0
306.0,150,37,45900.0
308.0,71,17,21868.0
308.25,33,11,10172.25
309.0,81,26,25029.0
310.0,48,12,14880.0
312.0,112,28,34944.0
315.0,15,3,4725.0
316.0,8,2,2528.0
318.0,36,11,11448.0
320.0,26,6,8320.0
323.25,21,7,6788.25
323.4,6,1,1940.3999999999999
324.0,33,6,10692.0
327.0,84,28,27468.0
328.0,32,5,10496.0
330.0,72,20,23760.0
331.0,4,1,1324.0
332.0,80,20,26560.0
333.0,96,32,31968.0
335.0,20,4,6700.0
336.0,18,3,6048.0
339.0,33,11,11187.0
340.0,33,8,11220.0
342.0,54,16,18468.0
344.0,4,1,1376.0
345.0,69,15,23805.0
346.25,5,1,1731.25
348.0,33,11,11484.0
350.0,6,3,2100.0
352.0,44,10,15488.0
354.0,6,1,2124.0
357.0,51,13,18207.0
360.0,45,9,16200.0
363.0,12,4,4356.0
364.0,8,2,2912.0
366.0,6,2,2196.0
367.2,6,1,2203.2
368.0,32,8,11776.0
369.0,18,4,6642.0
370.0,7,2,2590.0
372.0,64,16,23808.0
