price_bucket,subscribers,total_seats,cumulative_subscribers,cumulative_quantity,purchase_price,seats_sold,avg_price
65.0,1,2,1,1,65.0,1,48.67018479033405
60.0,7,49,8,8,60.0,7,48.67018479033405
55.0,30,246,38,38,55.0,30,48.67018479033405
50.0,9,37,47,47,50.0,9,48.67018479033405
40.0,7,21,54,54,40.0,7,48.67018479033405
35.0,13,34,67,67,35.0,13,48.67018479033405
