price_per_seat,seats_sold,transactions,num_events,total_revenue
21.0,2,1,1,42.0
24.0,24,13,6,576.0
27.0,1,1,1,27.0
28.25,2,1,1,56.5
32.0,5,4,2,160.0
33.0,12,5,1,396.0
33.5,24,12,6,804.0
34.0,4,2,1,136.0
39.0,9,4,4,351.0
42.0,24,11,8,1008.0
45.0,8,5,2,360.0
46.25,5,2,2,231.25
47.0,99,58,8,4653.0
50.0,10,4,1,500.0
54.0,22,14,7,1188.0
61.0,2,1,1,122.0
