event_name,total_revenue,full_price_tickets,discounted_tickets,avg_discount_pct,total_tickets,pct_full_price,pct_discounted
240425SE,61040.8,86,528,40.452750479227426,614,14.0,86.0
240426SE,66332.95,52,549,40.63071764254926,601,8.7,91.3
240502SE,46560.1,82,427,38.56751748165022,509,16.1,83.9
240504SE,55871.45,84,478,36.18622407856039,562,14.9,85.1
240509SE,54992.6,78,431,43.29641910200534,509,15.3,84.7
240511SE,65613.2,42,486,48.42084251101637,528,8.0,92.0
240516SE,54131.4,69,535,44.44666511541094,604,11.4,88.6
240518SE,65717.05,59,600,46.03722160385966,659,9.0,91.0
240530SE,54548.2,76,485,38.30372600408007,561,13.5,86.5
240601SE,66210.2,72,558,39.77506669365066,630,11.4,88.6
240606SE,37158.25,37,357,42.901398912676996,394,9.4,90.6
240608SE,38309.55,46,338,31.848006666561076,384,12.0,88.0
240613SE,69887.8,49,676,42.740532215717515,725,6.8,93.2
240615SE,71017.05,91,608,41.2685244660988,699,13.0,87.0
240616SM,68043.65,61,640,48.674733164911366,701,8.7,91.3
241005SE,73184.0,46,642,47.70973016446426,688,6.7,93.3
241006SE,0.0,0,0,0.0,0,,
241007SE,73659.75,105,536,38.02689687966138,641,16.4,83.6
241019SE,24983.85,31,247,37.57783059699687,278,11.2,88.8
241021SE,41116.2,57,325,35.37366313719912,382,14.9,85.1
241025SE,183790.0,111,754,31.382440466806575,865,12.8,87.2
241102SE,35603.75,54,326,32.40205344485542,380,14.2,85.8
241104SE,32029.5,63,273,27.533318698117483,336,18.8,81.2
241109SE,62588.35,85,560,39.10171906287791,645,13.2,86.8
241111SE,75586.95,75,562,38.12578949472789,637,11.8,88.2
241116SE,60437.8,60,563,39.12801585069018,623,9.6,90.4
241118SE,74060.65,53,621,39.9251936642608,674,7.9,92.1
241119SM,66609.0,56,599,43.45549927679691,655,8.5,91.5
241130SE,27076.9,29,268,37.95454969295302,297,9.8,90.2
241202SE,24311.75,59,222,25.210352975229284,281,21.0,79.0
241209SE,85273.0,85,499,42.52146127973498,584,14.6,85.4
241209SM,87218.0,70,416,42.72856961810645,486,14.4,85.6
241210SE,39351.0,47,286,42.58448678936428,333,14.1,85.9
241210SM,92098.0,70,435,42.2979661913409,505,13.9,86.1
241214SE,53557.0,64,355,37.71040338110732,419,15.3,84.7
241215SE,81425.0,81,527,41.93252386180997,608,13.3,86.7
241223SE,44548.73,51,303,44.76455164926182,354,14.4,85.6
241223SM,75166.0,79,438,42.73577419357711,517,15.3,84.7
