price_code,total_revenue,avg_price,ticket_count,unique_patrons,pct_of_tickets,pct_of_revenue
BUS,82.0,82.0,1,1,0.0,0.0
BM4,75.0,25.0,3,1,0.0,0.0
JF2,72.5,14.5,5,3,0.01,0.0
BL4,68.0,68.0,1,1,0.0,0.0
EL2,66.0,33.0,2,2,0.0,0.0
CU3,60.0,60.0,1,1,0.0,0.0
E2E,58.0,58.0,1,1,0.0,0.0
J3S,55.5,27.75,2,2,0.0,0.0
BF3,52.0,52.0,1,1,0.0,0.0
BM3,50.0,50.0,1,1,0.0,0.0
IC1,46.0,23.0,2,1,0.0,0.0
EM2,45.0,22.5,2,2,0.0,0.0
ES3,44.0,44.0,1,1,0.0,0.0
HC2,43.2,43.2,1,1,0.0,0.0
EU4,42.0,21.0,2,1,0.0,0.0
J1E,41.0,41.0,1,1,0.0,0.0
DC2,35.2,35.2,1,1,0.0,0.0
EM1,35.0,17.5,2,2,0.0,0.0
EM4,30.0,30.0,1,1,0.0,0.0
FL4,30.0,30.0,1,1,0.0,0.0
HS3,28.0,28.0,1,1,0.0,0.0
HF4,19.0,19.0,1,1,0.0,0.0
D0B,16.0,16.0,1,1,0.0,0.0
JS4,14.5,14.5,1,1,0.0,0.0
JU2,14.0,14.0,1,1,0.0,0.0
A0E,0.0,0.0,92,86,0.13,0.0
B0E,0.0,0.0,107,98,0.15,0.0
F0E,0.0,0.0,34,32,0.05,0.0
E0E,0.0,0.0,1230,641,1.67,0.0
G0E,0.0,0.0,378,261,0.51,0.0
H0E,0.0,0.0,639,374,0.87,0.0
C0E,0.0,0.0,1140,595,1.55,0.0
I0E,0.0,0.0,1363,711,1.85,0.0
J0E,0.0,0.0,536,357,0.73,0.0
D0E,0.0,0.0,38,33,0.05,0.0
