buyer_category,avg_total_spend,median_total_spend,patron_count,avg_events,median_events
College Pass,23.162124711316395,0.0,1299,4.483448806774442,3.0
Single Ticket,174.01165724062542,118.0,21041,1.337341381113065,1.0
Subscriber,1051.4044780137601,672.0,3343,10.154651510619205,8.0
