price,seats_sold,transactions,total_revenue
156.0,880,362,137280.0
158.0,278,139,43924.0
159.0,245,165,38955.0
160.0,350,132,56000.0
161.0,21,3,3381.0
162.0,74,25,11988.0
163.2,4,1,652.8
164.0,293,98,48052.0
164.8,4,2,659.2
165.0,312,104,51480.0
166.0,348,174,57768.0
167.0,3,3,501.0
168.0,403,136,67704.0
169.0,23,23,3887.0
170.0,220,110,37400.0
171.0,69,23,11799.0
172.0,94,35,16168.0
172.2,6,1,1033.1999999999998
172.8,3,1,518.4000000000001
173.4,4,1,693.6
174.0,113,31,19662.0
175.0,133,27,23275.0
175.1,14,7,2451.4
175.95,6,2,1055.6999999999998
176.0,302,130,53152.0
177.0,264,88,46728.0
178.0,626,313,111428.0
180.0,769,205,138420.0
182.0,93,44,16926.0
183.0,138,46,25254.0
183.6,6,2,1101.6
184.0,306,125,56304.0
184.8,3,1,554.4000000000001
185.0,40,8,7400.0
186.0,422,192,78492.0
187.0,4,1,748.0
187.5,6,2,1125.0
188.0,14,4,2632.0
189.0,19,7,3591.0
190.0,83,31,15770.0
192.0,137,44,26304.0
194.0,4,2,776.0
195.0,268,68,52260.0
196.0,455,139,89180.0
198.0,221,103,43758.0
199.0,3,3,597.0
200.0,119,34,23800.0
201.0,105,35,21105.0
202.0,38,19,7676.0
203.0,35,5,7105.0
204.0,814,250,166056.0
205.0,70,14,14350.0
206.0,578,289,119068.0
207.0,327,108,67689.0
208.0,44,8,9152.0
210.0,161,42,33810.0
211.2,6,1,1267.1999999999998
212.0,104,26,22048.0
213.0,48,16,10224.0
214.0,2,1,428.0
215.0,25,5,5375.0
215.6,4,1,862.4
216.0,232,74,50112.0
217.5,4,2,870.0
218.0,216,108,47088.0
219.0,4,2,876.0
220.0,614,200,135080.0
222.0,604,291,134088.0
224.0,342,86,76608.0
225.0,450,112,101250.0
226.0,124,62,28024.0
226.95,6,2,1361.6999999999998
228.0,287,113,65436.0
229.0,1,1,229.0
230.0,67,23,15410.0
231.0,48,16,11088.0
232.0,226,88,52432.0
234.0,222,60,51948.0
234.6,16,4,3753.6
235.0,15,3,3525.0
236.0,246,66,58056.0
237.0,69,23,16353.0
238.0,170,85,40460.0
240.0,261,75,62640.0
242.0,76,38,18392.0
243.2,4,1,972.8
244.0,122,40,29768.0
245.0,202,40,49490.0
246.0,101,31,24846.0
246.4,8,2,1971.2
248.0,270,95,66960.0
249.0,90,30,22410.0
250.0,153,72,38250.0
250.75,5,1,1253.75
252.0,284,134,71568.0
255.0,247,61,62985.0
256.0,128,36,32768.0
258.0,81,37,20898.0
259.0,28,4,7252.0
260.0,170,53,44200.0
261.0,18,2,4698.0
262.0,8,4,2096.0
264.0,118,37,31152.0
265.0,20,4,5300.0
265.6,4,1,1062.4
266.0,23,9,6118.0
267.0,186,62,49662.0
268.0,86,26,23048.0
270.0,192,54,51840.0
272.0,112,37,30464.0
273.0,36,8,9828.0
274.0,4,2,1096.0
275.0,186,36,51150.0
276.0,359,96,99084.0
278.0,36,18,10008.0
279.0,93,31,25947.0
280.0,287,77,80360.0
282.0,9,4,2538.0
284.0,54,15,15336.0
285.0,28,6,7980.0
286.0,2,1,572.0
287.0,7,1,2009.0
288.0,126,31,36288.0
290.0,38,12,11020.0
292.0,8,2,2336.0
294.0,159,31,46746.0
295.0,105,21,30975.0
296.0,28,7,8288.0
297.0,36,12,10692.0
298.0,2,1,596.0
300.0,250,63,75000.0
300.9,6,1,1805.3999999999999
301.0,7,1,2107.0
302.6,12,3,3631.2000000000003
303.0,3,1,909.0
304.0,52,13,15808.0
305.0,20,4,6100.0
306.0,93,18,28458.0
308.0,71,17,21868.0
309.0,129,42,39861.0
310.0,48,12,14880.0
312.0,128,31,39936.0
315.0,85,13,26775.0
316.0,36,9,11376.0
318.0,320,154,101760.0
320.0,68,15,21760.0
321.0,3,1,963.0
323.4,6,1,1940.3999999999999
324.0,18,4,5832.0
325.0,30,6,9750.0
327.0,12,4,3924.0
328.0,28,4,9184.0
330.0,144,32,47520.0
332.0,92,23,30544.0
333.0,96,32,31968.0
334.0,16,8,5344.0
335.0,5,1,1675.0
336.0,18,3,6048.0
338.0,34,17,11492.0
339.0,18,6,6102.0
340.0,112,27,38080.0
342.0,60,17,20520.0
343.0,28,4,9604.0
344.0,4,1,1376.0
345.0,119,25,41055.0
348.0,51,15,17748.0
350.0,78,16,27300.0
351.0,54,6,18954.0
352.0,52,12,18304.0
354.0,78,13,27612.0
355.0,5,1,1775.0
356.0,264,66,93984.0
357.0,51,13,18207.0
360.0,104,17,37440.0
363.0,12,4,4356.0
364.0,8,2,2912.0
366.0,6,2,2196.0
367.2,6,1,2203.2
368.0,32,8,11776.0
369.0,18,4,6642.0
370.0,7,2,2590.0
372.0,165,40,61380.0
